Ticker,Date,Open,High,Low,Close,Adj Close,Volume
META,10/27/15,102.940002,104.099998,102.400002,103.699997,103.590088,23795500
META,10/28/15,103.900002,104.480003,102.919998,104.199997,104.089554,24081500
META,10/29/15,103.959999,105.120003,103.519997,104.879997,104.768837,20316700
META,10/30/15,104.510002,104.720001,101.650002,101.970001,101.861923,33487100
META,11/2/15,101.720001,103.470001,101.18,103.309998,103.2005,24003900
META,11/3/15,103.220001,103.650002,102.400002,102.580002,102.471275,21242300
META,11/4/15,103.190002,104.139999,102.480003,103.940002,103.829834,43469300
META,11/5/15,108.800003,110.650002,107.949997,108.760002,108.64473,63232900
META,11/6/15,108.040001,108.739998,105.910004,107.099998,106.986481,35084300
META,11/9/15,107,108.25,105.860001,106.489998,106.377129,26383500
META,11/10/15,105.959999,108.150002,105.239998,107.910004,107.795631,25031700
META,11/11/15,108.269997,109.870003,107.110001,109.010002,108.894463,25057100
META,11/12/15,108.480003,109.389999,108,108.019997,107.90551,20924700
META,11/13/15,107.709999,108.25,103.830002,103.949997,103.839821,30278400
META,11/16/15,103.32,104.169998,100.470001,104.040001,103.929733,49309200
META,11/17/15,104.620003,106.199997,104.139999,105.129997,105.01857,26807200
META,11/18/15,105.800003,107.879997,105.389999,107.769997,107.655769,23836500
META,11/19/15,107.360001,107.730003,105.949997,106.260002,106.147377,25520600
META,11/20/15,106.839996,107.870003,106.620003,107.32,107.206253,22129600
META,11/23/15,107.190002,107.470001,106.080002,106.949997,106.836639,19897200
META,11/24/15,106,106.489998,104.389999,105.739998,105.627922,23577300
META,11/25/15,106.330002,106.599998,105.099998,105.410004,105.298279,15150800
META,11/27/15,105.779999,105.959999,104.860001,105.449997,105.338234,5913100
META,11/30/15,105.839996,106.099998,103.75,104.239998,104.129517,20383200
META,12/1/15,104.830002,107.150002,104.5,107.120003,107.00647,22781900
META,12/2/15,107,107.919998,105.790001,106.07,105.957581,24429100
META,12/3/15,106.269997,106.849998,103.349998,104.379997,104.269363,23236500
META,12/4/15,104.809998,107.730003,104.110001,106.18,106.067459,21224700
META,12/7/15,106.480003,106.830002,104.660004,105.610001,105.498062,15474900
META,12/8/15,104,106.910004,103.949997,106.489998,106.377129,20401800
META,12/9/15,106.18,106.440002,103.550003,104.599998,104.489136,23517300
META,12/10/15,105.050003,106.400002,104.410004,105.419998,105.308266,17454300
