Date, Open, High, Low, Close
11/01/23, 12887.06, 13072.42, 12875.20, 13061.47
10/31/23, 12786.62, 12859.40, 12697.04, 12851.24
10/30/23, 12750.47, 12842.96, 12691.56, 12789.48
10/27/23, 12718.69, 12772.43, 12600.57, 12643.01
10/26/23, 12768.97, 12818.14, 12543.86, 12595.61
10/25/23, 13039.86, 13042.52, 12804.30, 12821.22
10/24/23, 13084.99, 13170.39, 13022.85, 13139.87
10/23/23, 12930.85, 13143.23, 12848.83, 13018.33
10/20/23, 13157.77, 13177.35, 12977.43, 12983.81
10/19/23, 13354.80, 13404.73, 13157.33, 13186.18
10/18/23, 13439.68, 13499.74, 13275.30, 13314.30
10/17/23, 13419.87, 13602.25, 13364.74, 13533.75
10/16/23, 13453.81, 13598.05, 13447.17, 13567.98
10/13/23, 13613.59, 13619.54, 13361.85, 13407.23
10/12/23, 13672.47, 13714.14, 13491.56, 13574.22
10/11/23, 13619.21, 13671.11, 13549.29, 13659.68
10/10/23, 13505.81, 13659.63, 13491.81, 13562.84
10/09/23, 13326.22, 13509.30, 13277.48, 13484.24
10/06/23, 13127.68, 13472.27, 13099.03, 13431.34
10/05/23, 13228.12, 13251.18, 13087.57, 13219.83
10/04/23, 13092.92, 13258.76, 13072.51, 13236.01
10/03/23, 13229.68, 13280.04, 13008.60, 13059.47
10/02/23, 13217.99, 13364.03, 13204.08, 13307.77
09/29/23, 13337.71, 13382.98, 13177.09, 13219.32
09/28/23, 13043.37, 13270.97, 13025.11, 13201.28
09/27/23, 13115.36, 13156.37, 12963.16, 13092.85
09/26/23, 13180.96, 13199.13, 13033.40, 13063.61
09/25/23, 13172.54, 13277.83, 13132.00, 13271.32
09/22/23, 13287.17, 13353.22, 13200.64, 13211.81
09/21/23, 13328.06, 13362.23, 13222.56, 13223.98
09/20/23, 13710.26, 13727.81, 13467.28, 13469.13
09/19/23, 13649.44, 13705.15, 13578.87, 13678.19
09/18/23, 13669.95, 13751.28, 13663.45, 13710.24
09/15/23, 13889.20, 13895.75, 13684.25, 13708.33
09/14/23, 13889.76, 13957.57, 13810.66, 13926.05
09/13/23, 13773.67, 13868.57, 13733.82, 13813.59
09/12/23, 13858.94, 13913.60, 13763.69, 13773.61
09/11/23, 13884.03, 13937.47, 13805.13, 13917.89
09/08/23, 13754.71, 13843.37, 13733.18, 13761.53
09/07/23, 13675.11, 13774.64, 13642.47, 13748.83
09/06/23, 13988.81, 14001.95, 13802.42, 13872.47
09/05/23, 13994.54, 14060.85, 13945.65, 14020.95
09/01/23, 14129.96, 14149.62, 13982.42, 14031.81
08/31/23, 14041.54, 14114.67, 14010.48, 14034.97
08/30/23, 13961.77, 14050.82, 13924.20, 14019.31
08/29/23, 13687.23, 13959.81, 13677.06, 13943.76
08/28/23, 13695.36, 13735.98, 13626.64, 13705.13
08/25/23, 13514.37, 13633.42, 13376.34, 13590.65
08/24/23, 13834.31, 13834.68, 13462.84, 13463.97
08/23/23, 13532.43, 13757.00, 13532.43, 13721.03
08/22/23, 13593.94, 13598.76, 13484.38, 13505.87
08/21/23, 13347.26, 13516.86, 13325.59, 13497.59
08/18/23, 13190.02, 13335.87, 13161.76, 13290.78
08/17/23, 13527.30, 13535.09, 13303.44, 13316.93
08/16/23, 13593.17, 13644.32, 13473.03, 13474.63
08/15/23, 13760.48, 13774.98, 13611.93, 13631.05
08/14/23, 13599.00, 13789.16, 13582.49, 13788.33
08/11/23, 13633.65, 13720.33, 13609.98, 13644.85
08/10/23, 13818.25, 13947.16, 13686.51, 13737.99
08/09/23, 13897.61, 13898.53, 13698.39, 13722.02
08/08/23, 13875.45, 13899.74, 13769.34, 13884.32
08/07/23, 13972.45, 13997.15, 13864.92, 13994.40
08/04/23, 14025.96, 14119.22, 13897.93, 13909.24
08/03/23, 13899.76, 14032.28, 13881.35, 13959.72
08/02/23, 14132.73, 14133.85, 13914.81, 13973.45
08/01/23, 14274.93, 14309.21, 14215.64, 14283.91
07/31/23, 14337.90, 14370.91, 14292.75, 14346.02
07/28/23, 14199.83, 14344.35, 14188.10, 14316.66
07/27/23, 14319.16, 14360.20, 14006.92, 14050.11
07/26/23, 14123.52, 14187.35, 14041.95, 14127.28
07/25/23, 14093.24, 14201.91, 14092.52, 14144.56
07/24/23, 14081.63, 14110.15, 13997.13, 14058.87
07/21/23, 14148.17, 14179.01, 14020.45, 14032.81
07/20/23, 14273.29, 14309.92, 14030.63, 14063.31
07/19/23, 14398.53, 14446.55, 14317.09, 14358.02
07/18/23, 14212.25, 14396.69, 14176.11, 14353.64
07/17/23, 14149.92, 14274.41, 14138.01, 14244.95
07/14/23, 14166.66, 14232.11, 14081.96, 14113.70
07/13/23, 14021.15, 14163.81, 14012.24, 14138.57
07/12/23, 13915.64, 13963.45, 13842.13, 13918.96
07/11/23, 13709.82, 13774.83, 13643.32, 13760.70
07/10/23, 13645.37, 13692.41, 13584.87, 13685.48
07/07/23, 13668.07, 13804.51, 13656.74, 13660.72
07/06/23, 13653.17, 13689.52, 13567.25, 13679.04
07/05/23, 13772.10, 13844.50, 13764.25, 13791.65
07/03/23, 13798.70, 13839.09, 13773.41, 13816.77
06/30/23, 13719.98, 13816.67, 13716.16, 13787.92
06/29/23, 13592.36, 13618.53, 13540.26, 13591.33
06/28/23, 13506.02, 13654.14, 13495.73, 13591.75
06/27/23, 13389.25, 13578.80, 13366.97, 13555.67
06/26/23, 13468.75, 13573.57, 13334.42, 13335.78
06/23/23, 13484.10, 13572.19, 13442.65, 13492.52
06/22/23, 13443.41, 13631.85, 13441.56, 13630.61
06/21/23, 13620.87, 13638.57, 13460.94, 13502.20
06/20/23, 13642.30, 13711.18, 13561.84, 13667.29
06/16/23, 13859.07, 13864.06, 13680.95, 13689.57
06/15/23, 13572.88, 13828.17, 13561.37, 13782.82
06/14/23, 13570.56, 13661.74, 13455.99, 13626.48
06/13/23, 13566.52, 13594.40, 13473.19, 13573.32
06/12/23, 13326.37, 13465.91, 13302.58, 13461.92
06/09/23, 13312.40, 13385.95, 13229.33, 13259.14
06/08/23, 13113.27, 13248.60, 13101.18, 13238.52
06/07/23, 13295.26, 13361.90, 13089.48, 13104.89
06/06/23, 13199.59, 13306.20, 13165.65, 13276.42
06/05/23, 13238.48, 13330.65, 13194.95, 13229.43
06/02/23, 13190.48, 13256.21, 13125.86, 13240.77
06/01/23, 12944.46, 13141.83, 12903.63, 13100.98
05/31/23, 12968.38, 13029.08, 12889.37, 12935.29
05/30/23, 13109.10, 13154.29, 12968.12, 13017.43
05/26/23, 12736.42, 13001.91, 12729.74, 12975.69
05/25/23, 12706.44, 12736.92, 12604.89, 12698.09
05/24/23, 12481.90, 12529.63, 12415.85, 12484.16
05/23/23, 12652.88, 12709.74, 12554.43, 12560.25
05/22/23, 12664.44, 12756.23, 12655.26, 12720.78
05/19/23, 12709.46, 12731.73, 12624.06, 12657.90
05/18/23, 12513.87, 12698.50, 12512.26, 12688.84
05/17/23, 12388.58, 12514.07, 12335.02, 12500.57
05/16/23, 12327.05, 12403.81, 12324.52, 12343.05
05/15/23, 12301.17, 12376.40, 12263.35, 12365.21
05/12/23, 12350.52, 12364.65, 12209.58, 12284.74
05/11/23, 12321.26, 12347.38, 12255.44, 12328.51
05/10/23, 12286.66, 12337.69, 12180.86, 12306.44
05/09/23, 12195.78, 12216.13, 12174.06, 12179.55
05/08/23, 12231.68, 12264.99, 12178.26, 12256.92
05/05/23, 12073.03, 12264.83, 12065.72, 12235.41
05/04/23, 11997.34, 12033.15, 11925.37, 11966.40
05/03/23, 12097.04, 12212.56, 12022.46, 12025.33
05/02/23, 12198.02, 12206.58, 12015.23, 12080.51
05/01/23, 12210.05, 12261.32, 12181.08, 12212.60
04/28/23, 12117.54, 12227.72, 12082.57, 12226.58
04/27/23, 11972.15, 12154.01, 11950.92, 12142.24
04/26/23, 11913.23, 11967.99, 11833.07, 11854.35
04/25/23, 11968.81, 11990.46, 11798.77, 11799.16
04/24/23, 12053.47, 12103.58, 11960.31, 12037.20
04/21/23, 12046.03, 12097.15, 11986.82, 12072.46
04/20/23, 12039.08, 12155.96, 12011.95, 12059.56
04/19/23, 12063.68, 12191.10, 12060.17, 12157.23
04/18/23, 12234.56, 12245.43, 12110.23, 12153.41
04/17/23, 12108.23, 12159.02, 12064.10, 12157.72
04/14/23, 12117.91, 12205.72, 12026.55, 12123.47
04/13/23, 11997.42, 12178.80, 11995.94, 12166.27
04/12/23, 12110.87, 12134.50, 11916.54, 11929.34
04/11/23, 12080.24, 12091.27, 12011.40, 12031.88
04/10/23, 11975.14, 12084.94, 11924.20, 12084.36
04/06/23, 11939.08, 12098.50, 11898.36, 12087.96
04/05/23, 12081.76, 12086.75, 11931.84, 11996.86
04/04/23, 12208.49, 12224.68, 12081.81, 12126.33
04/03/23, 12146.09, 12196.34, 12086.52, 12189.45
03/31/23, 12031.54, 12227.93, 12030.44, 12221.91
03/30/23, 12010.45, 12044.79, 11953.37, 12013.47
03/29/23, 11855.59, 11941.59, 11823.35, 11926.24
03/28/23, 11752.76, 11752.76, 11635.02, 11716.08
03/27/23, 11868.54, 11903.21, 11739.05, 11768.84
03/24/23, 11747.62, 11826.23, 11670.67, 11823.96
03/23/23, 11811.32, 11962.69, 11684.52, 11787.40
03/22/23, 11857.50, 12013.99, 11666.85, 11669.96
03/21/23, 11764.79, 11879.16, 11724.91, 11860.11
03/20/23, 11614.39, 11695.55, 11550.69, 11675.54
03/17/23, 11696.34, 11773.11, 11562.63, 11630.51
03/16/23, 11384.87, 11733.80, 11365.49, 11717.28
03/15/23, 11291.17, 11447.91, 11238.44, 11434.05
03/14/23, 11357.74, 11467.02, 11284.93, 11428.15
03/13/23, 11041.46, 11326.73, 10982.80, 11188.84
03/10/23, 11325.36, 11373.81, 11093.86, 11138.89
03/09/23, 11578.31, 11667.12, 11319.98, 11338.35
03/08/23, 11553.09, 11601.23, 11487.75, 11576.00
03/07/23, 11670.98, 11705.97, 11512.03, 11530.33
03/06/23, 11736.87, 11827.92, 11667.48, 11675.74
03/03/23, 11524.65, 11699.63, 11514.74, 11689.01
03/02/23, 11273.77, 11487.59, 11273.61, 11462.98
03/01/23, 11447.58, 11479.00, 11349.87, 11379.48
02/28/23, 11451.05, 11548.23, 11435.39, 11455.54
02/27/23, 11517.19, 11565.23, 11444.60, 11466.98
02/24/23, 11404.18, 11434.36, 11334.47, 11394.94
02/23/23, 11636.93, 11638.98, 11432.58, 11590.40
02/22/23, 11517.20, 11582.52, 11445.17, 11507.07
02/21/23, 11640.37, 11684.14, 11491.18, 11492.30
02/17/23, 11777.50, 11803.22, 11673.21, 11787.27
02/16/23, 11896.31, 12040.34, 11853.36, 11855.83
02/15/23, 11905.12, 12071.29, 11876.82, 12070.59
02/14/23, 11808.20, 11999.85, 11760.57, 11960.15
02/13/23, 11759.09, 11910.92, 11719.73, 11891.79
02/10/23, 11714.60, 11775.80, 11630.54, 11718.12
02/09/23, 12069.10, 12070.96, 11745.11, 11789.58
02/08/23, 12069.12, 12096.39, 11890.09, 11910.52
02/07/23, 11891.25, 12150.22, 11836.77, 12113.79
02/06/23, 11904.41, 11973.41, 11843.49, 11887.45
02/03/23, 11946.86, 12231.31, 11946.86, 12006.95
02/02/23, 12065.15, 12269.56, 12024.14, 12200.82
02/01/23, 11573.14, 11904.02, 11500.33, 11816.32
01/31/23, 11398.58, 11586.01, 11398.37, 11584.55
01/30/23, 11512.34, 11553.31, 11388.54, 11393.81
01/27/23, 11470.47, 11691.89, 11470.27, 11621.71
01/26/23, 11458.41, 11516.05, 11341.19, 11512.41
01/25/23, 11146.53, 11334.22, 11069.17, 11313.36
01/24/23, 11302.93, 11378.15, 11282.65, 11334.27
01/23/23, 11171.94, 11405.50, 11144.03, 11364.41
01/20/23, 10924.66, 11143.17, 10885.65, 11140.43
01/19/23, 10890.40, 10932.52, 10804.57, 10852.27
01/18/23, 11170.95, 11223.41, 10952.05, 10957.01
01/17/23, 11070.00, 11145.44, 11024.72, 11095.11
01/13/23, 10906.37, 11084.01, 10900.16, 11079.16
01/12/23, 10969.26, 11027.75, 10797.12, 11001.10
01/11/23, 10794.99, 10932.44, 10762.73, 10931.67
01/10/23, 10607.72, 10743.67, 10589.59, 10742.63
01/09/23, 10662.10, 10807.26, 10619.12, 10635.65
01/06/23, 10363.96, 10604.14, 10265.04, 10569.29
01/05/23, 10390.31, 10393.22, 10295.25, 10305.24
01/04/23, 10467.82, 10515.22, 10337.64, 10458.76
01/03/23, 10562.06, 10613.06, 10309.16, 10386.98
12/30/22, 10368.37, 10468.31, 10324.69, 10466.48
12/29/22, 10321.46, 10502.08, 10301.06, 10478.09
12/28/22, 10339.20, 10414.82, 10207.47, 10213.29
12/27/22, 10462.19, 10472.32, 10340.73, 10353.23
12/23/22, 10437.75, 10514.76, 10361.82, 10497.86
12/22/22, 10586.46, 10599.34, 10313.32, 10476.12
12/21/22, 10592.00, 10753.57, 10569.20, 10709.37
12/20/22, 10490.89, 10609.47, 10446.82, 10547.11
12/19/22, 10707.44, 10713.97, 10497.55, 10546.03
12/16/22, 10767.64, 10833.24, 10642.10, 10705.41
12/15/22, 11012.62, 11029.57, 10775.61, 10810.53
12/14/22, 11248.09, 11352.09, 11065.24, 11170.89
12/13/22, 11542.84, 11571.64, 11160.54, 11256.81
12/12/22, 11015.48, 11144.67, 10984.82, 11143.74
12/09/22, 11038.17, 11138.70, 10999.26, 11004.62
12/08/22, 11011.33, 11119.16, 10939.47, 11082.00
12/07/22, 10963.95, 11039.81, 10910.62, 10958.55
12/06/22, 11228.42, 11241.42, 10956.20, 11014.89
12/05/22, 11380.99, 11425.51, 11193.02, 11239.94
12/02/22, 11308.38, 11492.32, 11296.72, 11461.50
12/01/22, 11475.17, 11546.77, 11378.75, 11482.45
11/30/22, 10995.20, 11468.47, 10966.53, 11468.00
11/29/22, 11060.02, 11086.02, 10944.37, 10983.78
11/28/22, 11147.57, 11217.75, 11020.69, 11049.50
11/25/22, 11231.00, 11261.57, 11206.38, 11226.36
11/23/22, 11174.61, 11310.82, 11174.61, 11285.32
11/22/22, 11058.56, 11179.87, 10975.66, 11174.41
11/21/22, 11091.01, 11128.78, 10999.75, 11024.51
11/18/22, 11257.01, 11259.44, 11059.16, 11146.06
11/17/22, 11008.67, 11198.84, 11006.21, 11144.96
11/16/22, 11260.09, 11286.10, 11162.92, 11183.66
11/15/22, 11474.82, 11492.62, 11241.15, 11358.41
11/14/22, 11233.90, 11350.13, 11167.17, 11196.22
11/11/22, 11124.75, 11352.43, 11069.83, 11323.33
11/10/22, 10869.17, 11119.11, 10779.95, 11114.15
11/09/22, 10528.45, 10564.97, 10344.01, 10353.17
11/08/22, 10611.53, 10745.64, 10472.73, 10616.20
11/07/22, 10516.94, 10587.96, 10428.91, 10564.52
11/04/22, 10548.15, 10553.63, 10262.93, 10475.25
11/03/22, 10399.45, 10486.01, 10319.54, 10342.94
11/02/22, 10885.01, 10993.24, 10522.90, 10524.80
11/01/22, 11154.74, 11156.35, 10881.19, 10890.85
10/31/22, 11028.43, 11047.94, 10914.00, 10988.15
10/28/22, 10766.20, 11117.04, 10766.20, 11102.45
10/27/22, 10971.95, 10998.73, 10780.50, 10792.67
10/26/22, 10969.02, 11205.84, 10948.38, 10970.99
10/25/22, 10996.97, 11210.38, 10996.97, 11199.12
10/24/22, 10867.07, 10983.52, 10713.33, 10952.61
10/21/22, 10576.04, 10875.72, 10542.43, 10859.72
10/20/22, 10657.41, 10837.30, 10574.55, 10614.84
10/19/22, 10689.31, 10808.04, 10592.88, 10680.51
10/18/22, 10963.99, 10972.97, 10670.12, 10772.40
10/17/22, 10575.65, 10696.59, 10569.69, 10675.80
10/14/22, 10742.81, 10766.68, 10308.81, 10321.39
10/13/22, 10131.82, 10697.71, 10088.83, 10649.15
10/12/22, 10437.00, 10494.53, 10372.21, 10417.10
10/11/22, 10484.37, 10608.84, 10351.98, 10426.19
10/10/22, 10659.95, 10669.93, 10449.04, 10542.10
10/07/22, 10877.28, 10891.93, 10608.52, 10652.40
10/06/22, 11129.04, 11230.44, 11051.27, 11073.31
10/05/22, 11022.67, 11210.32, 10910.76, 11148.64
10/04/22, 11054.72, 11189.96, 11044.04, 11176.41
10/03/22, 10659.01, 10875.46, 10577.89, 10815.43
09/30/22, 10697.71, 10883.04, 10572.33, 10575.62
09/29/22, 10894.44, 10899.47, 10623.23, 10737.51
09/28/22, 10817.52, 11101.50, 10776.34, 11051.64
09/27/22, 10955.29, 11040.99, 10741.02, 10829.50
09/26/22, 10833.38, 11024.00, 10789.05, 10802.92
09/23/22, 10952.69, 10958.30, 10732.72, 10867.93
09/22/22, 11167.38, 11203.77, 11024.64, 11066.81
09/21/22, 11466.21, 11613.57, 11219.00, 11220.19
09/20/22, 11440.14, 11520.99, 11343.72, 11425.05
09/19/22, 11338.57, 11538.13, 11337.83, 11535.02
09/16/22, 11401.21, 11460.43, 11316.92, 11448.40
09/15/22, 11633.24, 11760.73, 11497.11, 11552.36
09/14/22, 11680.41, 11746.83, 11602.76, 11719.68
09/13/22, 11908.81, 11957.97, 11604.43, 11633.57
09/12/22, 12174.94, 12270.19, 12169.28, 12266.41
09/09/22, 11958.61, 12132.67, 11958.61, 12112.31
09/08/22, 11679.85, 11896.73, 11660.53, 11862.13
09/07/22, 11559.38, 11819.07, 11555.08, 11791.90
09/06/22, 11643.03, 11679.43, 11471.50, 11544.91
09/02/22, 11899.14, 11945.91, 11573.51, 11630.86
09/01/22, 11707.44, 11798.37, 11546.52, 11785.13
08/31/22, 11972.56, 12027.43, 11814.17, 11816.20
08/30/22, 12093.06, 12101.85, 11790.02, 11883.14
08/29/22, 12021.05, 12124.87, 11981.42, 12017.67
08/26/22, 12630.58, 12655.84, 12141.52, 12141.71
08/25/22, 12506.37, 12641.26, 12471.98, 12639.27
08/24/22, 12375.15, 12504.33, 12350.16, 12431.53
08/23/22, 12380.37, 12490.85, 12352.03, 12381.30
08/22/22, 12523.16, 12538.55, 12353.73, 12381.57
08/19/22, 12832.27, 12859.01, 12674.87, 12705.22
08/18/22, 12937.78, 13002.66, 12873.49, 12965.34
08/17/22, 12968.63, 13053.51, 12863.01, 12938.12
08/16/22, 13082.64, 13181.09, 12979.24, 13102.55
08/15/22, 12996.63, 13146.06, 12993.78, 13128.05
08/12/22, 12866.31, 13047.19, 12821.22, 13047.19
08/11/22, 12944.82, 13026.24, 12760.09, 12779.91
08/10/22, 12793.44, 12861.44, 12698.61, 12854.80
08/09/22, 12557.49, 12582.91, 12438.86, 12493.93
08/08/22, 12703.72, 12855.16, 12597.75, 12644.46
08/05/22, 12538.81, 12720.44, 12525.77, 12657.55
08/04/22, 12433.87, 12699.64, 12425.21, 12720.58
08/03/22, 12433.87, 12699.64, 12425.21, 12668.16
08/02/22, 12287.67, 12503.34, 12260.48, 12348.76
08/01/22, 12317.96, 12499.72, 12271.98, 12368.98
07/29/22, 12239.69, 12426.26, 12181.13, 12390.69
07/28/22, 12036.48, 12179.09, 11886.67, 12162.59
07/27/22, 11756.19, 12081.73, 11718.38, 12032.42
07/26/22, 11701.53, 11711.31, 11533.37, 11562.57
07/25/22, 11837.96, 11855.11, 11707.53, 11782.67
07/22/22, 12025.37, 12093.02, 11767.19, 11834.11
07/21/22, 11914.15, 12060.59, 11812.72, 12059.61
07/20/22, 11726.09, 11939.96, 11703.36, 11897.65
07/19/22, 11515.00, 11721.22, 11448.97, 11713.15
07/18/22, 11561.64, 11629.03, 11322.84, 11360.05
07/15/22, 11379.36, 11454.69, 11295.33, 11452.42
07/14/22, 11151.21, 11279.97, 11005.93, 11251.19
07/13/22, 11056.55, 11325.67, 11031.27, 11247.58
07/12/22, 11420.89, 11483.17, 11207.08, 11264.73
07/11/22, 11524.49, 11541.10, 11348.06, 11372.60
07/08/22, 11503.61, 11689.70, 11479.77, 11635.31
07/07/22, 11422.60, 11644.47, 11412.88, 11621.35
07/06/22, 11337.90, 11443.15, 11250.32, 11361.85
07/05/22, 10964.18, 11323.90, 10911.45, 11322.24
07/01/22, 11006.83, 11132.55, 10922.71, 11127.85
06/30/22, 11048.25, 11160.92, 10850.01, 11028.74
06/29/22, 11160.22, 11226.33, 11072.19, 11177.89
06/28/22, 11542.24, 11635.85, 11177.68, 11181.54
06/27/22, 11661.02, 11677.49, 11487.07, 11524.55
06/24/22, 11351.31, 11613.23, 11337.78, 11607.62
06/23/22, 11137.68, 11260.27, 11046.28, 11232.19
06/22/22, 10941.95, 11216.77, 10938.06, 11053.08
06/21/22, 10974.05, 11164.99, 10974.05, 11069.30
06/17/22, 10697.55, 10884.71, 10638.72, 10798.35
06/16/22, 10806.02, 10831.07, 10565.14, 10646.10
06/15/22, 10968.40, 11244.26, 10866.39, 11099.15
06/14/22, 10897.43, 10926.81, 10733.04, 10828.35
06/13/22, 10986.84, 11071.48, 10775.14, 10809.23
06/10/22, 11543.88, 11569.15, 11328.27, 11340.02
06/09/22, 12016.47, 12115.07, 11751.98, 11754.23
06/08/22, 12147.28, 12235.78, 12052.70, 12086.27
06/07/22, 11925.81, 12194.86, 11888.61, 12175.23
06/06/22, 12200.33, 12245.40, 12004.20, 12061.37
06/03/22, 12097.12, 12167.44, 11966.62, 12012.73
06/02/22, 11945.57, 12320.12, 11901.45, 12316.90
06/01/22, 12176.89, 12237.94, 11901.43, 11994.46
05/31/22, 12137.54, 12190.08, 11942.50, 12081.39
05/27/22, 11869.69, 12131.66, 11856.82, 12131.13
05/26/22, 11409.84, 11796.97, 11406.16, 11740.65
05/25/22, 11225.03, 11511.90, 11211.85, 11434.74
05/24/22, 11326.44, 11351.61, 11092.48, 11264.45
05/23/22, 11396.28, 11552.07, 11304.56, 11535.27
05/20/22, 11542.67, 11552.21, 11035.69, 11354.62
05/19/22, 11364.40, 11562.82, 11313.31, 11388.50
05/18/22, 11790.68, 11826.22, 11381.69, 11418.15
05/17/22, 11905.57, 11988.43, 11754.28, 11984.52
05/16/22, 11727.14, 11804.59, 11627.53, 11662.79
05/13/22, 11555.98, 11856.71, 11510.25, 11805.00
05/12/22, 11199.25, 11547.33, 11108.76, 11370.96
05/11/22, 11645.57, 11844.51, 11339.18, 11364.24
05/10/22, 11900.34, 11944.94, 11566.28, 11737.67
05/09/22, 11923.03, 11990.61, 11574.94, 11623.25
05/06/22, 12246.83, 12358.42, 11990.15, 12144.66
05/05/22, 12787.52, 12787.52, 12183.56, 12317.69
05/04/22, 12574.73, 12985.01, 12367.02, 12964.86
05/03/22, 12511.46, 12645.83, 12460.99, 12563.76
05/02/22, 12331.69, 12542.54, 12202.41, 12536.02
04/29/22, 12710.42, 12861.83, 12315.74, 12334.64
04/28/22, 12712.86, 12948.52, 12487.86, 12871.53
04/27/22, 12500.88, 12703.79, 12430.90, 12488.93
04/26/22, 12918.04, 12918.04, 12490.74, 12490.74
04/25/22, 12749.17, 13011.45, 12722.59, 13004.85
04/22/22, 13168.80, 13212.60, 12828.02, 12839.29
04/21/22, 13623.70, 13710.69, 13140.83, 13174.65
04/20/22, 13665.38, 13678.55, 13426.13, 13453.07
04/19/22, 13312.44, 13643.97, 13281.22, 13619.66
04/18/22, 13319.39, 13414.27, 13222.03, 13332.36
04/14/22, 13647.43, 13662.93, 13345.22, 13351.08
04/13/22, 13373.12, 13679.43, 13353.66, 13643.59
04/12/22, 13584.69, 13685.95, 13317.74, 13371.57
04/11/22, 13547.29, 13585.08, 13401.39, 13411.96
04/08/22, 13830.47, 13866.06, 13693.69, 13711.00
04/07/22, 13861.49, 13978.25, 13689.23, 13897.30
04/06/22, 14002.58, 14032.84, 13788.90, 13888.82
04/05/22, 14490.26, 14500.29, 14169.12, 14204.17
04/04/22, 14304.35, 14534.38, 14286.45, 14532.55
04/01/22, 14269.53, 14306.94, 14131.81, 14261.50
03/31/22, 14444.78, 14456.74, 14217.73, 14220.52
03/30/22, 14558.59, 14609.25, 14383.45, 14442.27
03/29/22, 14500.39, 14646.90, 14419.40, 14619.64
03/28/22, 14177.21, 14356.00, 14101.34, 14354.90
03/25/22, 14194.72, 14218.76, 14010.79, 14169.30
03/24/22, 14001.32, 14193.55, 13897.20, 14191.84
03/23/22, 13990.35, 14152.15, 13921.65, 13922.60
03/22/22, 13866.43, 14141.07, 13857.29, 14108.82
03/21/22, 13860.39, 13945.81, 13682.55, 13838.46
03/18/22, 13564.63, 13899.28, 13528.06, 13893.84
03/17/22, 13360.72, 13620.80, 13317.14, 13614.78
03/16/22, 13119.36, 13440.12, 12992.20, 13436.55
03/15/22, 12685.23, 12973.88, 12616.59, 12948.62
03/14/22, 12795.12, 12918.01, 12555.35, 12581.22
03/11/22, 13229.77, 13239.35, 12830.37, 12843.81
03/10/22, 13098.35, 13163.50, 12946.28, 13129.96
03/09/22, 13113.70, 13301.16, 13039.79, 13255.55
03/08/22, 12800.04, 13159.44, 12670.08, 12795.55
03/07/22, 13328.36, 13353.28, 12828.02, 12830.96
03/04/22, 13455.23, 13486.71, 13224.98, 13313.44
03/03/22, 13837.59, 13837.59, 13472.64, 13537.94
03/02/22, 13597.53, 13796.55, 13493.91, 13752.02
03/01/22, 13716.70, 13777.04, 13441.32, 13532.46
02/28/22, 13570.83, 13810.64, 13549.90, 13751.40
02/25/22, 13485.26, 13696.86, 13358.29, 13694.62
02/24/22, 12587.88, 13486.11, 12587.88, 13473.59
